,hotel_name,hotel_facilities,state,hotel_address,rating,no_of_ratings,rating_performance,hotel_price
0,OYO 30665  Sruan Inn, Parking Facility  Reception  Free Wifi  + 14 more, Hyderabad,"Near Vishnu Theatre, Abhyudaya Nagar, Hyderab",4.2,675 Ratings,Good,1014.0
1,SPOT ON 48349 Sri Sai Lohith Lodge, Reception  Geyser  Daily Housekeeping  + 6 more, Hyderabad,"Near Regional Passport Office, Shivaji Nagar, Hyderab",4.1,904 Ratings,Good,461.0
2,OYO Townhouse 77018 Gangothri, Private Entrance  Parking Facility  Reception  + 15 more,,Near RP Ro,4.4,1465 Ratings,Good,1256.0
4,OYO 1421 Hotel Nirmal Excellency, Parking Facility  Free Wifi  Geyser  + 9 more,,"Near Osmania Medical College Gate, Koti, Hyderb",4.3,105 Ratings,Good,889.0
5,OYO 61506 Sai Residency, Reception  Free Wifi  Geyser  + 9 more, Hyderabad,"Near Sr nagar metro station, Jawahar Nagar, Hyderab",3.9,556 Ratings,Good,1014.0
6,OYO 70822 Pnd Complex, Reception  AC  Daily Housekeeping  + 6 more, Hyderabad,"Telangana  India, Hyderab",4.7,35 Ratings,Excellent,1014.0
7,OYO 10272 Hotel Ruma, Elevator  Free Wifi  Geyser  + 7 more, Hyderabad,"Near City Convention Centre, Nampally, Hyderab",4.3,2097 Ratings,Good,1012.0
8,OYO 24204 Nav Bharath Residency, Reception  Free Wifi  Power backup  + 17 more, Hyderabad,"Near Central Gurudwara Saheb, Gowliguda, Hyderab",4.5,887 Ratings,Excellent,1216.0
9,OYO 13746 Mint Leaves, Parking Facility  Free Wifi  Power backup  + 10 more, Hyderabad,"Annapurna Studios, Jubilee Hills, Hyderab",4.5,68 Ratings,Excellent,1289.0
10,Capital O 71317 White Ridge, Elevator  Reception  Free Wifi  + 8 more, Hyderabad,"Near Khazana Jewellery, Dilsukhnagar, Hyderab",4.2,1253 Ratings,Good,1014.0
