,hotel_name,hotel_location,hotel_facilities,hotel_rating,hotel_price,page_num,hotel_stay_time
0,OYO 30665  Sruan Inn,"Near Vishnu Theatre, Abhyudaya Nagar, Hyderabad·






9.7 km", Parking Facility  Reception  Free Wifi  + 14 more,4.2 (675 Ratings)·Very Good,₹1014,1,per room per night
1,SPOT ON 48349 Sri Sai Lohith Lodge,"Near Regional Passport Office, Shivaji Nagar, Hyderabad·






6.2 km", Reception  Geyser  Daily Housekeeping  + 6 more,4.1 (904 Ratings)·Very Good,₹461,1,per room per night
2,OYO Townhouse 77018 Gangothri,"Near RP Road BUS STOP·






5.7 km", Private Entrance  Parking Facility  Reception  + 15 more,4.4 (1465 Ratings)·Very Good,₹1256,1,per room per night
3,OYO 37906 New Asian Lodge,"Near Nampally Metro Station, Nampally, Hyderabad·






2.0 km", Reception  Free Wifi  Power backup  + 12 more,,₹1598,1,per room per night
4,OYO 1421 Hotel Nirmal Excellency,"Near Osmania Medical College Gate, Koti, Hyderbad·






0.6 km", Parking Facility  Free Wifi  Geyser  + 9 more,4.3 (105 Ratings)·Very Good,₹889,1,per room per night
5,OYO 61506 Sai Residency,"Near Sr nagar metro station, Jawahar Nagar, Hyderabad·






8.7 km", Reception  Free Wifi  Geyser  + 9 more,3.9 (556 Ratings)·Good,₹1014,1,per room per night
6,OYO 70822 Pnd Complex,"Telangana  India, Hyderabad·






7.9 km", Reception  AC  Daily Housekeeping  + 6 more,4.7 (35 Ratings)·Excellent,₹1014,1,per room per night
7,OYO 10272 Hotel Ruma,"Near City Convention Centre, Nampally, Hyderabad·






1.9 km", Elevator  Free Wifi  Geyser  + 7 more,4.3 (2097 Ratings)·Very Good,₹1012,1,per room per night
8,OYO 24204 Nav Bharath Residency,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad·






1.0 km", Reception  Free Wifi  Power backup  + 17 more,4.5 (887 Ratings)·Excellent,₹1216,1,per room per night
9,OYO 13746 Mint Leaves,"Annapurna Studios, Jubilee Hills, Hyderabad·






8.4 km", Parking Facility  Free Wifi  Power backup  + 10 more,4.5 (68 Ratings)·Excellent,₹1289,1,per room per night
10,Capital O 71317 White Ridge,"Near Khazana Jewellery, Dilsukhnagar, Hyderabad·






5.1 km", Elevator  Reception  Free Wifi  + 8 more,4.2 (1253 Ratings)·Very Good,₹1014,1,per room per night
11,SPOT ON 37214 Classic Lodge,"Near Board Of Intermediate Office, Hyderabad·






1.9 km", AC  Parking Facility  Elevator  + 8 more,4.6 (1589 Ratings)·Excellent,₹675,1,per room per night
12,SPOT ON 43890 Kaveri Lodge,"Near Kamineni Hospital, L.B.Nagar, Hyderabad·






8.1 km", Parking Facility  Reception  Daily Housekeeping  + 7 more,4.6 (1050 Ratings)·Excellent,₹932,1,per room per night
13,OYO 10225 Hotel Sree Chandana,"Laxmi Nagar Colony, Kothapet, Hyderabad·






6.0 km", Parking Facility  Free Wifi  Power backup  + 11 more,3.7 (290 Ratings)·Good,₹1672,1,per room per night
14,CAPITAL O75502 Hotel Asian International ,"Near Nampally metro station, Mahesh Nagar, Hyderabad·






2.0 km", Reception  Free Wifi  24/7 Checkin  + 16 more,3.7 (108 Ratings)·Good,₹2070,1,per room per night
15,OYO 16428 Hotel Comfort Inn,"Near Mahatma Gandhi Road, Rani Ganj, Hyderabad·






5.4 km", Free Wifi  Power backup  Card Payment  + 14 more,4.5 (1425 Ratings)·Excellent,₹898,1,per room per night
16,OYO 71469 Limestone Pearl,"Somajiguda, Hyderabad·






5.4 km", Parking Facility  Reception  Free Wifi  + 8 more,4.7 (14 Ratings)·Excellent,₹2075,1,per room per night
17,Capital O 44585 Sri Suprabhat Grand,"Nera Venkataramana Theater, Hyderabad·






0.8 km", Parking Facility  Reception  Free Wifi  + 15 more,4.2 (235 Ratings)·Very Good,₹2097,1,per room per night
18,SPOT ON 45433 Sree Radha Lodge,"Near Guru dwara, Shivaji Nagar, Hyderabad·






6.0 km", AC  Reception  Power backup  + 6 more,4.1 (151 Ratings)·Very Good,₹760,1,per room per night
19,OYO 67479 Alpine Glow Zenith,"Near Malani Colony, Bowenpally, Hyderabad·






8.0 km", Reception  Free Wifi  Power backup  + 12 more,4.5 (1529 Ratings)·Excellent,₹1216,1,per room per night
20,OYO 71234 Hotel Shyam ,"Near Paradise Restaurant, M.G.Road, Hyderabad·






6.4 km", Reception  Free Wifi  24/7 Checkin  + 16 more,4.2 (1488 Ratings)·Very Good,₹835,2,per room per night
21,OYO 19365 Hotel Sabharwal,"Near Grand Hotel , Hanuman Tekdi, Hyderabad·






0.9 km", Elevator  Free Wifi  Geyser  + 4 more,,₹904,2,per room per night
22,Capital O 23543 Hotel Vaishnavi,"Near Csi Wesley Church, Paras Towers, Hyderabad·






6.1 km", Reception  AC  Daily Housekeeping  + 8 more,4.5 (1415 Ratings)·Excellent,₹1522,2,per room per night
